Equipamento;Hrs Manu;Hrs Trab;Hrs Disp;$ Total Trab;$ Total Disp;% Disp;% Util;MTBF;MTTR;CR;Data(de);Data(para)
RC56;0;17;89,56;1.300,16;6.849,57;100;15,95;0;0;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
RC57;0;11;102,22;841,28;7.817,81;100;9,72;0;0;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
RC59;0;9;104,22;688,32;7.970,77;100;7,95;0;0;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
RC61;0;3;3,66;229,44;279,92;100;45,05;0;0;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
RC63;0;3;123,54;229,44;9.448,36;100;2,37;0;0;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
RM04;0;53;66,88;3.710;4.681,6;100;44,21;0;0;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
RM06;0;207;-93,78;14.490;0;100;182,83;0;0;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
RP10;26,64;0;99,9;0;7.064,94;78,95;0;0;6,66;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
RT10;0;37;76,22;2.173,38;4.477,17;100;32,68;0;0;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
TE20;13,32;12;81,24;1.470;9.951,9;87,5;11,26;6;6,66;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
TP11;0;3;63,6;146,58;3.107,51;100;4,5;0;0;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
VA04;126,54;0;0;0;0;0;0;0;6,66;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
VA05;59,94;0;66,6;0;8.974,36;52,63;0;0;6,66;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
VA10;0;61;58,88;8.219,75;7.934,13;100;50,88;0;0;CR REGIONAL DE PINHEIRO;01/06/2026;23/06/2026
